Loading configuration : configs/config-2.3.txt
Reading file
Created Node 0: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20ClientSR
Created Node 1: 1 interf.s, ctr code: cnss.lib.EndSystemControl app code: FT20Server
Added link to node 0 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up
Added link to node 1 - Link (Node1:0 I1:0)<-->(Node2:1 I2:0) bwd: 2000000 bps lat: 20 ms error: 0.15 jit: 0.0 up

simulation starts - first processing step with clock = 0

log: FT20-ClientSR time 0 node 0 SENDING: UPLOAD<earth.jpg, 0>
log: FT20-ClientSR time 1 node 0 SENDING: DATA<1, 1, len: 1000>
log: FT20-ClientSR time 2 node 0 SENDING: DATA<2, 2, len: 1000>
log: FT20-ClientSR time 3 node 0 SENDING: DATA<3, 3, len: 1000>
log: FT20-ClientSR time 4 node 0 SENDING: DATA<4, 4, len: 1000>
log: FT20-ClientSR time 5 node 0 SENDING: DATA<5, 5, len: 1000>
log: FT20-ClientSR time 6 node 0 SENDING: DATA<6, 6, len: 1000>
log: FT20-ClientSR time 7 node 0 SENDING: DATA<7, 7, len: 1000>
log: FT20-ClientSR time 8 node 0 SENDING: DATA<8, 8, len: 1000>
log: FT20-ClientSR time 9 node 0 SENDING: DATA<9, 9, len: 1000>
log:    FT20-Server time 20 node 1 GOT: UPLOAD<earth.jpg, 0>
log:    FT20-Server time 20 node 1 SENDING: ACK<0, 0, 0>
log:    FT20-Server time 25 node 1 GOT: DATA<1, 1, len: 1000>
log:    FT20-Server time 25 node 1 SENDING: ACK<1, 1, 1>
log:    FT20-Server time 29 node 1 GOT: DATA<2, 2, len: 1000>
log:    FT20-Server time 29 node 1 SENDING: ACK<2, 2, 2>
log:    FT20-Server time 33 node 1 GOT: DATA<3, 3, len: 1000>
log:    FT20-Server time 33 node 1 SENDING: ACK<3, 3, 3>
log:    FT20-Server time 37 node 1 GOT: DATA<4, 4, len: 1000>
log:    FT20-Server time 37 node 1 SENDING: ACK<4, 4, 4>
log: FT20-ClientSR time 40 node 0 GOT: ACK<0, 0, 0>
log: FT20-ClientSR time 40 node 0 SENDING: DATA<10, 40, len: 1000>
log:    FT20-Server time 41 node 1 GOT: DATA<5, 5, len: 1000>
log:    FT20-Server time 41 node 1 SENDING: ACK<5, 5, 5>
log: FT20-ClientSR time 45 node 0 GOT: ACK<1, 1, 1>
log: FT20-ClientSR time 45 node 0 SENDING: DATA<11, 45, len: 1000>
log:    FT20-Server time 45 node 1 GOT: DATA<6, 6, len: 1000>
log:    FT20-Server time 45 node 1 SENDING: ACK<6, 6, 6>
log: FT20-ClientSR time 49 node 0 GOT: ACK<2, 2, 2>
log: FT20-ClientSR time 49 node 0 SENDING: DATA<12, 49, len: 1000>
log:    FT20-Server time 49 node 1 GOT: DATA<7, 7, len: 1000>
log:    FT20-Server time 49 node 1 SENDING: ACK<7, 7, 7>
log: FT20-ClientSR time 53 node 0 GOT: ACK<3, 3, 3>
log: FT20-ClientSR time 53 node 0 SENDING: DATA<13, 53, len: 1000>
log:    FT20-Server time 53 node 1 GOT: DATA<9, 9, len: 1000>
log:    FT20-Server time 53 node 1 SENDING: ACK<7, 9, 9>
log: FT20-ClientSR time 57 node 0 GOT: ACK<4, 4, 4>
log: FT20-ClientSR time 57 node 0 SENDING: DATA<14, 57, len: 1000>
log: FT20-ClientSR time 61 node 0 GOT: ACK<5, 5, 5>
log: FT20-ClientSR time 61 node 0 SENDING: DATA<15, 61, len: 1000>
log: FT20-ClientSR time 65 node 0 GOT: ACK<6, 6, 6>
log: FT20-ClientSR time 65 node 0 SENDING: DATA<16, 65, len: 1000>
log: FT20-ClientSR time 69 node 0 GOT: ACK<7, 7, 7>
log: FT20-ClientSR time 69 node 0 SENDING: DATA<17, 69, len: 1000>
log:    FT20-Server time 69 node 1 GOT: DATA<11, 45, len: 1000>
log:    FT20-Server time 69 node 1 SENDING: ACK<7, 11, 45>
log: FT20-ClientSR time 73 node 0 GOT: ACK<7, 9, 9>
log:    FT20-Server time 73 node 1 GOT: DATA<12, 49, len: 1000>
log:    FT20-Server time 73 node 1 SENDING: ACK<7, 12, 49>
log:    FT20-Server time 77 node 1 GOT: DATA<13, 53, len: 1000>
log:    FT20-Server time 77 node 1 SENDING: ACK<7, 13, 53>
log:    FT20-Server time 81 node 1 GOT: DATA<14, 57, len: 1000>
log:    FT20-Server time 81 node 1 SENDING: ACK<7, 14, 57>
log:    FT20-Server time 85 node 1 GOT: DATA<15, 61, len: 1000>
log:    FT20-Server time 85 node 1 SENDING: ACK<7, 15, 61>
